Weight,Zone A,Zone B,Zone C,Zone D,AU & NZ,UK,USA,Zone H,Zone I,Zone J,Zone K,CANADA,Zone M,Zone N,Zone O,Zone P,Zone Q
55.5,32716.9,50895.1,41101.8,47155.5,48411,39795.1,53078.4,55447.7,52553.5,61109,81826.3,54391.9,34290.8,81823,81823,81731,81826.3
56,32992.4,51305.7,41431.4,47507.9,48792,40022.6,53445.4,55833.9,52948.4,61573.4,82497.8,54769.2,34580.4,82495,82495,82394.9,82497.8
56.5,33308.6,51757.2,41801.8,47901.2,49214,40317.6,53986.6,56260.9,53410.9,62078.6,83210.1,55320.8,34910.9,83207.7,83207.7,83099.4,83210.1
57,33584,52168,42131,48254,49595,40545,54354,56647,53806,62543,83882,55698,35200,83880,83880,83763,83882
57.5,33900,52620,42502,48647,50017,40840,54895,57074,54268,63048,84594,56250,35531,84592,84592,84468,84594
58,34175,53030,42831,49000,50398,41068,55262,57460,54663,63512,85265,56627,35820,85264,85264,85132,85265
58.5,34492,53482,43202,49393,50820,41363,55803,57887,55126,64018,85978,57179,36151,85977,85977,85836,85978
59,34767,53892,43531,49745,51201,41590,56170,58273,55521,64482,86649,57556,36441,86649,86649,86500,86649
59.5,35083,54344,43902,50139,51623,41885,56711,58700,55983,64987,87361,58108,36771,87362,87362,87205,87361
60,35359,54755,44231,50491,52004,42113,57078,59087,56378,65452,88033,58485,37060,88034,88034,87868,88033
60.5,35675,55206,44602,50884,52426,42408,57619,59514,56841,65957,88745,59037,37391,88747,88747,88573,88745
61,35950,55617,44931,51237,52807,42635,57986,59900,57236,66421,89417,59414,37681,89419,89419,89237,89417
61.5,36266,56069,45302,51630,53229,42930,58528,60327,57698,66926,90129,59966,38011,90131,90131,89942,90129
62,36542,56479,45631,51983,53610,43158,58894,60713,58093,67391,90800,60343,38301,90803,90803,90605,90800
62.5,36858,56931,46002,52376,54032,43453,59436,61140,58556,67896,91513,60895,38631,91516,91516,91310,91513
63,37133,57341,46331,52728,54413,43680,59803,61526,58951,68360,92184,61272,38921,92188,92188,91974,92184
63.5,37449,57793,46702,53122,54835,43975,60344,61953,59413,68866,92896,61824,39251,92901,92901,92678,92896
64,37725,58204,47031,53474,55216,44203,60711,62339,59808,69330,93568,62201,39541,93573,93573,93342,93568
64.5,38041,58655,47402,53868,55638,44498,61252,62766,60271,69835,94280,62753,39871,94285,94285,94047,94280
65,38316,59066,47731,54220,56019,44725,61619,63152,60666,70300,94952,63130,40161,94957,94957,94711,94952
65.5,38633,59517,48102,54613,56441,45020,62160,63579,61128,70805,95664,63682,40491,95670,95670,95415,95664
66,38908,59928,48431,54966,56822,45248,62527,63966,61523,71269,96335,64059,40781,96342,96342,96079,96335
66.5,39224,60380,48802,55359,57244,45543,63068,64393,61986,71774,97048,64611,41111,97055,97055,96784,97048
67,39499,60790,49131,55712,57625,45770,63435,64779,62381,72239,97719,64988,41401,97727,97727,97447,97719
67.5,39816,61242,49502,56105,58047,46065,63976,65206,62843,72744,98431,65540,41731,98440,98440,98152,98431
68,40091,61653,49831,56457,58428,46293,64343,65592,63238,73208,99103,65917,42021,99112,99112,98816,99103
68.5,40407,62104,50202,56851,58850,46588,64885,66019,63701,73713,99815,66468,42351,99824,99824,99520,99815
69,40682,62515,50531,57203,59231,46815,65252,66405,64096,74178,100487,66846,42641,100496,100496,100184,100487
69.5,40999,62966,50902,57596,59653,47111,65793,66832,64558,74683,101199,67397,42971,101209,101209,100889,101199
70,41274,63377,51231,57949,60034,47338,66160,67218,64953,75147,101870,67775,43261,101881,101881,101553,101870
71,41549,63788,51561,58301,60416,47566,66527,67604,65348,75612,102542,68152,43550,102553,102553,102217,102542
71-99,595,939,720,724,907,710,957,1039,903,1078,1494,981,623,1494,1494,1494,1494
100-299,579,918,709,693,894,703,949,1025,903,1059,1487,973,603,1487,1487,1487,1487
300-499,580,916,709,699,883,691,942,1016,899,1053,1480,966,605,1480,1480,1480,1480
500-999,552,868,709,678,872,677,931,991,880,1042,1466,955,576,1466,1466,1466,1466
1000-9999,556,891,709,666,865,672,927,990,886,1041,1455,948,580,1455,1455,1455,1455
10000+,1693,1806,2439,2332,3221,2547,3354,3045,3201,3840,5021,3354,1693,5021,5021,5021,5021
